Model,Displ,Cyl,Trans,Drive,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
NISSAN Titan,5.6,8,SemiAuto-7,2WD,CA,U2,California LEV-II ULEV,KNSXT05.6N9A,pickup,3,15,21,18,3,No,505
NISSAN Titan,5.6,8,SemiAuto-7,4WD,FA,T3B125,Federal Tier 3 Bin 125,KNSXT05.6N9A,pickup,3,15,21,18,3,No,505
NISSAN Titan,5.6,8,SemiAuto-7,4WD,CA,U2,California LEV-II ULEV,KNSXT05.6N9A,pickup,3,15,21,18,3,No,505
NISSAN Titan Pro-4X,5.6,8,SemiAuto-7,4WD,FA,T3B125,Federal Tier 3 Bin 125,KNSXT05.6N9A,pickup,3,15,20,17,3,No,529
NISSAN Titan Pro-4X,5.6,8,SemiAuto-7,4WD,CA,U2,California LEV-II ULEV,KNSXT05.6N9A,pickup,3,15,20,17,3,No,529
NISSAN Versa,1.6,4,CVT,2WD,CA,L3ULEV125,California LEV-III ULEV125,KNSXV01.6N4A,small car,3,31,39,34,8,Yes,262
NISSAN Versa,1.6,4,CVT,2WD,FA,T3B125,Federal Tier 3 Bin 125,KNSXV01.6N4A,small car,3,31,39,34,8,Yes,262
NISSAN Versa,1.6,4,CVT,2WD,CA,L3ULEV70,California LEV-III ULEV70,KNSXV01.6P4A,small car,5,31,39,34,8,Yes,262
NISSAN Versa,1.6,4,CVT,2WD,FA,T3B70,Federal Tier 3 Bin 70,KNSXV01.6P4A,small car,5,31,39,34,8,Yes,262
NISSAN Versa,1.6,4,Man-5,2WD,CA,L3ULEV125,California LEV-III ULEV125,KNSXV01.6N4A,small car,3,27,36,30,7,Yes,296
NISSAN Versa,1.6,4,Man-5,2WD,FA,T3B125,Federal Tier 3 Bin 125,KNSXV01.6N4A,small car,3,27,36,30,7,Yes,296
PORSCHE 911 Carrera,3,6,AMS-7,2WD,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,22,30,25,5,No,355
PORSCHE 911 Carrera,3,6,AMS-7,2WD,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,22,30,25,5,No,355
PORSCHE 911 Carrera,3,6,Man-7,2WD,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,20,29,23,5,No,382
PORSCHE 911 Carrera,3,6,Man-7,2WD,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,20,29,23,5,No,382
PORSCHE 911 Carrera 4,3,6,AMS-7,4WD,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,22,28,24,5,No,362
PORSCHE 911 Carrera 4,3,6,AMS-7,4WD,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,22,28,24,5,No,362
PORSCHE 911 Carrera 4,3,6,Man-7,4WD,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,20,28,23,5,No,389
PORSCHE 911 Carrera 4,3,6,Man-7,4WD,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,20,28,23,5,No,389
PORSCHE 911 Carrera 4 Cabriolet,3,6,AMS-7,4WD,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,21,28,24,5,No,370
PORSCHE 911 Carrera 4 Cabriolet,3,6,AMS-7,4WD,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,21,28,24,5,No,370
PORSCHE 911 Carrera 4 Cabriolet,3,6,Man-7,4WD,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,19,28,22,4,No,395
PORSCHE 911 Carrera 4 Cabriolet,3,6,Man-7,4WD,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,19,28,22,4,No,395
PORSCHE 911 Carrera 4 GTS,3,6,AMS-7,4WD,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,20,26,22,4,No,400
PORSCHE 911 Carrera 4 GTS,3,6,AMS-7,4WD,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,20,26,22,4,No,400
PORSCHE 911 Carrera 4 GTS,3,6,Man-7,4WD,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,18,26,21,4,No,414
PORSCHE 911 Carrera 4 GTS,3,6,Man-7,4WD,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,18,26,21,4,No,414
PORSCHE 911 Carrera 4 GTS Cabriolet,3,6,AMS-7,4WD,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,20,25,22,4,No,402
PORSCHE 911 Carrera 4 GTS Cabriolet,3,6,AMS-7,4WD,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,20,25,22,4,No,402
PORSCHE 911 Carrera 4 GTS Cabriolet,3,6,Man-7,4WD,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,18,26,21,4,No,419
PORSCHE 911 Carrera 4 GTS Cabriolet,3,6,Man-7,4WD,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,18,26,21,4,No,419
PORSCHE 911 Carrera 4S,3,6,AMS-7,4WD,CA,L3LEV160,California LEV-III LEV160,KPRXV03.0C91,small car,1,21,28,24,5,No,373
PORSCHE 911 Carrera 4S,3,6,AMS-7,4WD,FA,T3B160,Federal Tier 3 Bin 160,KPRXV03.0C91,small car,1,21,28,24,5,No,373
